"Objekt-ID";"Kunde";"Ort";"Objekttyp";"Leistung";"Kategorie";"Saison";"Frequenz";"Dauer je Einsatz (min)";"Einsaetze/Monat";"Minuten/Monat";"Zugewiesenes Team"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"42";"4.33";"182";"Springer-Team (R. Iseni)"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"34";"4.33";"147";"Springer-Team (R. Iseni)"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Springer-Team (R. Iseni)"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"19";"4.33";"82";"Springer-Team (R. Iseni)"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"32";"0.83";"27";"Springer-Team (R. Iseni)"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"14";"4.33";"61";"Springer-Team (R. Iseni)"
"WSG-001";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"26";"4.33";"113";"Springer-Team (R. Iseni)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"50";"4.33";"216";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"22";"4.33";"95";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"28";"1.63";"46";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"21";"4.33";"91";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"29";"0.83";"24";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"18";"4.33";"78";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"60";"1";"60";"Team Oberland (D. Meier)"
"WSG-002";"Immo Zuerichsee AG";"Baden";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"30";"4.33";"130";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"145";"4.33";"628";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"132";"4.33";"572";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"134";"1.63";"218";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"38";"4.33";"165";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"35";"0.83";"29";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"30";"4.33";"130";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"109";"1";"109";"Team Oberland (D. Meier)"
"WSG-003";"Immo Zuerichsee AG";"Baden";"Wohnueberbauung";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"57";"4.33";"247";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"52";"4.33";"225";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"26";"4.33";"113";"Team Oberland (D. Meier)"
